Ticker,SICCD,DlyCalDt,DlyCap,DlyRet,DlyClose,sprtrn
JNJ,2834,2014-10-14,273596041.87,-0.021287,97.0100,0.001579
JNJ,2834,2014-10-15,276980386.27,0.012370,98.2100,-0.008100
JNJ,2834,2014-10-16,272947375.86,-0.014561,96.7800,0.000145
JNJ,2834,2014-10-17,278362326.90,0.019839,98.7000,0.012884
JNJ,2834,2014-10-20,279772470.40,0.005066,99.2000,0.009143
JNJ,2834,2014-10-21,283044003.32,0.011694,100.3600,0.019574
JNJ,2834,2014-10-22,285469450.14,0.008569,101.2200,-0.007299
JNJ,2834,2014-10-23,289446054.81,0.013930,102.6300,0.012303
JNJ,2834,2014-10-24,290856198.31,0.004872,103.1300,0.007053
JNJ,2834,2014-10-27,293507268.09,0.009115,104.0700,-0.001502
JNJ,2834,2014-10-28,295537874.73,0.006918,104.7900,0.011939
JNJ,2834,2014-10-29,297709495.72,0.007348,105.5600,-0.001385
JNJ,2834,2014-10-30,301883520.48,0.014020,107.0400,0.006230
JNJ,2834,2014-10-31,301688075.80,0.006913,107.7800,0.011731
JNJ,2834,2014-11-03,300792360.60,-0.002969,107.4600,-0.000119
JNJ,2834,2014-11-04,304039328.20,0.010795,108.6200,-0.002830
JNJ,2834,2014-11-05,304599150.20,0.001841,108.8200,0.005701
JNJ,2834,2014-11-06,305130981.10,0.001746,109.0100,0.003776
JNJ,2834,2014-11-07,302863702.00,-0.007431,108.2000,0.000350
JNJ,2834,2014-11-10,304599150.20,0.005730,108.8200,0.003120
JNJ,2834,2014-11-11,304851070.10,0.000827,108.9100,0.000697
JNJ,2834,2014-11-12,304403212.50,-0.001469,108.7500,-0.000701
JNJ,2834,2014-11-13,305298927.70,0.002943,109.0700,0.000530
JNJ,2834,2014-11-14,302751737.60,-0.008343,108.1600,0.000240
JNJ,2834,2014-11-17,303143613.00,0.001294,108.3000,0.000735
JNJ,2834,2014-11-18,304627141.30,0.004894,108.8300,0.005134
JNJ,2834,2014-11-19,304431203.60,-0.000643,108.7600,-0.001501
JNJ,2834,2014-11-20,302807719.80,-0.005333,108.1800,0.001967
JNJ,2834,2014-11-21,301912004.60,0.003513,107.8600,0.005237
JNJ,2834,2014-11-24,299168876.80,-0.009086,106.8800,0.002864
JNJ,2834,2014-11-25,298665037.00,-0.001684,106.7000,-0.001150
JNJ,2834,2014-11-26,300092583.10,0.004780,107.2100,0.002806
JNJ,2834,2014-11-28,303003657.50,0.009701,108.2500,-0.002542
JNJ,2834,2014-12-01,302387853.30,-0.002032,108.0300,-0.006829
JNJ,2834,2014-12-02,303731426.10,0.004443,108.5100,0.006384
JNJ,2834,2014-12-03,301520129.20,-0.007280,107.7200,0.003765
JNJ,2834,2014-12-04,301072271.60,-0.001485,107.5600,-0.001162
JNJ,2834,2014-12-05,303731426.10,0.008832,108.5100,0.001665
JNJ,2834,2014-12-08,303759417.20,0.000092,108.5200,-0.007257
JNJ,2834,2014-12-09,302443835.50,-0.004331,108.0500,-0.000238
JNJ,2834,2014-12-10,297377446.40,-0.016752,106.2400,-0.016351
JNJ,2834,2014-12-11,298721019.20,0.004518,106.7200,0.004536
JNJ,2834,2014-12-12,292311057.30,-0.021458,104.4300,-0.016214
JNJ,2834,2014-12-15,290995475.60,-0.004501,103.9600,-0.006343
